solID,channels,date_min,date_max,periods,constr_low,constr_up,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initRoiUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmRoiUnit,optmResponseUnitLift,optmResponseUnitTotalLift
5_200_2,Adwords_Android,2022-01-01,2022-10-22,295 days,0.7,2,12185522.992291,54651109.9193829,241027.202232051,41306.8576009865,0.171378405501376,32251.6424904752,147659.668473695,0.780781796621221,17000000,113333.333333333,-0.529790279753483,28914.8003206905,-0.3,150680.863625151,-0.374838764132184,0.191894309768637,23807.3061488914,107698.822914217,0.823360558774312,-0.261826551750895,-0.270628032505683
5_200_2,Adwords_iOS,2022-01-01,2022-10-22,295 days,0.8,2,7234687.184428,54651109.9193829,241027.202232051,24776.3259740685,0.102794729161793,9068.1310244749,147659.668473695,0.365999827172351,17000000,113333.333333333,-0.529790279753483,19821.0607792548,-0.2,150680.863625151,-0.374838764132184,0.13154331812541,5127.44894321676,107698.822914217,0.258686908855215,-0.434563866647078,-0.270628032505683
5_200_2,Apple_Search_Ads_iOS,2022-01-01,2022-10-22,295 days,0.8,2,5986234.7137,54651109.9193829,241027.202232051,20292.3210633898,0.0841909995032562,7954.63217734408,147659.668473695,0.392002085542365,17000000,113333.333333333,-0.529790279753483,16233.8568507119,-0.2,150680.863625151,-0.374838764132184,0.107736685735336,5829.87994954716,107698.822914217,0.359118600290696,-0.267108796538514,-0.270628032505683
5_200_2,bytedanceglobal_int_Android,2022-01-01,2022-10-22,295 days,0.7,2,1142839.55,54651109.9193829,241027.202232051,3887.2093537415,0.0161276790243744,3.21083128654961,147659.668473695,0.000825999063687975,17000000,113333.333333333,-0.529790279753483,2721.04654761905,-0.3,150680.863625151,-0.374838764132184,0.0180583418634247,1.0388008313555,107698.822914217,0.000381765182320923,-0.676469817736264,-0.270628032505683
5_200_2,bytedanceglobal_int_iOS,2022-01-01,2022-10-22,295 days,0.7,2,1325708.29,54651109.9193829,241027.202232051,4555.69859106529,0.0189011802355788,4.2252365182188,147659.668473695,0.000927461822541422,17000000,113333.333333333,-0.529790279753483,3188.9890137457,-0.3,150680.863625151,-0.374838764132184,0.0211638620659817,1.06897717437319,107698.822914217,0.000335208798075348,-0.747001814037188,-0.270628032505683
5_200_2,Facebook_Android,2022-01-01,2022-10-22,295 days,0.6,2,4685018.89,54651109.9193829,241027.202232051,15881.4199661017,0.0658905709356893,113.429833780237,147659.668473695,0.00714229798231827,17000000,113333.333333333,-0.529790279753483,9528.85197966101,-0.4,150680.863625151,-0.374838764132184,0.0632386339606198,21.2310734492457,107698.822914217,0.00222808303608479,-0.812826372553983,-0.270628032505683
5_200_2,Facebook_iOS,2022-01-01,2022-10-22,295 days,0.5,2,11125641.86,54651109.9193829,241027.202232051,39174.7952816902,0.162532672324571,38082.2016171508,147659.668473695,0.972109779855059,17000000,113333.333333333,-0.529790279753483,19587.3976408451,-0.5,150680.863625151,-0.374838764132184,0.129992602707486,27823.2149330925,107698.822914217,1.42046510941675,-0.26939058794957,-0.270628032505683
5_200_2,minor_channels,2022-01-01,2022-10-22,295 days,0.7,2,236656.601431,54651109.9193829,241027.202232051,1479.10375894375,0.00613666733566335,1232.02393321008,147659.668473695,0.832953013445037,17000000,113333.333333333,-0.529790279753483,1035.37263126063,-0.3,150680.863625151,-0.374838764132184,0.00687129477726065,665.509179086729,107698.822914217,0.642772620207696,-0.459824471629603,-0.270628032505683
5_200_2,new_channels,2022-01-01,2022-10-22,295 days,0.6,2,2580398.84,54651109.9193829,241027.202232051,28671.0982222222,0.118953785949102,7021.47738687208,147659.668473695,0.244897399201469,17000000,113333.333333333,-0.529790279753483,17202.6589333333,-0.4,150680.863625151,-0.374838764132184,0.114166182217593,5500.38486778341,107698.822914217,0.319740389500219,-0.21663425448505,-0.270628032505683
5_200_2,Snapchat_Android,2022-01-01,2022-10-22,295 days,0.6,2,499599.803376,54651109.9193829,241027.202232051,2022.67126872875,0.00839187963017303,1152.94790156003,147659.668473695,0.57001249752495,17000000,113333.333333333,-0.529790279753483,1213.60276123725,-0.4,150680.863625151,-0.374838764132184,0.00805412666240305,892.34262031985,107698.822914217,0.735283940364574,-0.226033874460035,-0.270628032505683
5_200_2,Snapchat_iOS,2022-01-01,2022-10-22,295 days,0.8,2,1162250.394157,54651109.9193829,241027.202232051,5811.251970785,0.0241103573246897,44.3175669259876,147659.668473695,0.00762616509295863,17000000,113333.333333333,-0.529790279753483,4649.001576628,-0.2,150680.863625151,-0.374838764132184,0.030853297922378,23.006882425142,107698.822914217,0.00494877922623319,-0.480863142519431,-0.270628032505683
5_200_2,Tatari_TV,2022-01-01,2022-10-22,295 days,0.5,2,6486550.8,54651109.9193829,241027.202232051,53168.4491803279,0.220591073073733,50731.4284740967,147659.668473695,0.954164156679356,17000000,113333.333333333,-0.529790279753483,26584.2245901639,-0.5,150680.863625151,-0.374838764132184,0.176427344193471,38006.3905383996,107698.822914217,1.4296595490117,-0.250831453370064,-0.270628032505683
